A11,26,154
A12,58,154
A13,90,154
A14,122,154
A15,154,154
A16,186,154
A17,218,154
A18,250,154
B11,325,154
B12,357,154
B13,389,154
B14,421,154
B15,453,154
B16,485,154
B17,516,154
B18,548,154
C11,556,154
C12,588,154
C13,620,154
C14,652,154
C15,684,154
C16,716,154
C17,748,154
C18,780,154
D11,821,154
D12,853,154
D13,885,154
D14,917,154
D15,949,154
D16,981,154
D17,1013,154
D18,1045,154
E11,1084,154
E12,1116,154
E13,1148,154
E14,1180,154
E15,1212,154
E16,1244,154
E17,1276,154
E18,1308,154
F11,1349,154
F12,1381,154
F13,1413,154
F14,1445,154
F15,1477,154
F16,1509,154
F17,1541,154
F18,1574,154
G11,1615,154
G12,1647,154
G13,1679,154
G14,1711,154
G15,1743,154
G16,1775,154
G17,1807,154
G18,1839,154
A21,26,309
A22,58,309
A23,90,309
A24,122,309
A25,154,309
A26,186,309
A27,218,309
A28,250,309
B21,325,309
B22,357,309
B23,389,309
B24,421,309
B25,453,309
B26,485,309
B27,516,309
B28,548,309
C21,556,309
C22,588,309
C23,620,309
C24,652,309
C25,684,309
C26,716,309
C27,748,309
C28,780,309
D21,821,309
D22,853,309
D23,885,309
D24,917,309
D25,949,309
D26,981,309
D27,1013,309
D28,1045,309
E21,1084,309
E22,1116,309
E23,1148,309
E24,1180,309
E25,1212,309
E26,1244,309
E27,1276,309
E28,1308,309
F21,1349,309
F22,1381,309
F23,1413,309
F24,1445,309
F25,1477,309
F26,1509,309
F27,1541,309
F28,1574,309
G21,1615,309
G22,1647,309
G23,1679,309
G24,1711,309
G25,1743,309
G26,1775,309
G27,1807,309
G28,1839,309
A31,26,465
A32,58,465
A33,90,465
A34,122,465
A35,154,465
A36,186,465
A37,218,465
A38,250,465
B31,325,465
B32,357,465
B33,389,465
B34,421,465
B35,453,465
B36,485,465
B37,516,465
B38,548,465
C31,556,465
C32,588,465
C33,620,465
C34,652,465
C35,684,465
C36,716,465
C37,748,465
C38,780,465
D31,821,465
D32,853,465
D33,885,465
D34,917,465
D35,949,465
D36,981,465
D37,1013,465
D38,1045,465
E31,1084,465
E32,1116,465
E33,1148,465
E34,1180,465
E35,1212,465
E36,1244,465
E37,1276,465
E38,1308,465
F31,1349,465
F32,1381,465
F33,1413,465
F34,1445,465
F35,1477,465
F36,1509,465
F37,1541,465
F38,1574,465
G31,1615,465
G32,1647,465
G33,1679,465
G34,1711,465
G35,1743,465
G36,1775,465
G37,1807,465
G38,1839,465
A41,26,603
A42,58,603
A43,90,603
A44,122,603
A45,154,603
A46,186,603
A47,218,603
A48,250,603
B41,325,603
B42,357,603
B43,389,603
B44,421,603
B45,453,603
B46,485,603
B47,516,603
B48,548,603
C41,556,603
C42,588,603
C43,620,603
C44,652,603
C45,684,603
C46,716,603
C47,748,603
C48,780,603
D41,821,603
D42,853,603
D43,885,603
D44,917,603
D45,949,603
D46,981,603
D47,1013,603
D48,1045,603
E41,1084,603
E42,1116,603
E43,1148,603
E44,1180,603
E45,1212,603
E46,1244,603
E47,1276,603
E48,1308,603
F41,1349,603
F42,1381,603
F43,1413,603
F44,1445,603
F45,1477,603
F46,1509,603
F47,1541,603
F48,1574,603
G41,1615,603
G42,1647,603
G43,1679,603
G44,1711,603
G45,1743,603
G46,1775,603
G47,1807,603
G48,1839,603
A51,26,756
A52,58,756
A53,90,756
A54,122,756
A55,154,756
A56,186,756
A57,218,756
A58,250,756
B51,325,756
B52,357,756
B53,389,756
B54,421,756
B55,453,756
B56,485,756
B57,516,756
B58,548,756
C51,556,756
C52,588,756
C53,620,756
C54,652,756
C55,684,756
C56,716,756
C57,748,756
C58,780,756
D51,821,756
D52,853,756
D53,885,756
D54,917,756
D55,949,756
D56,981,756
D57,1013,756
D58,1045,756
E51,1084,756
E52,1116,756
E53,1148,756
E54,1180,756
E55,1212,756
E56,1244,756
E57,1276,756
E58,1308,756
F51,1349,756
F52,1381,756
F53,1413,756
F54,1445,756
F55,1477,756
F56,1509,756
F57,1541,756
F58,1574,756
G51,1615,756
G52,1647,756
G53,1679,756
G54,1711,756
G55,1743,756
G56,1775,756
G57,1807,756
G58,1839,756
A61,26,910
A62,58,910
A63,90,910
A64,122,910
A65,154,910
A66,186,910
A67,218,910
A68,250,910
B61,325,910
B62,357,910
B63,389,910
B64,421,910
B65,453,910
B66,485,910
B67,516,910
B68,548,910
C61,556,910
C62,588,910
C63,620,910
C64,652,910
C65,684,910
C66,716,910
C67,748,910
C68,780,910
D61,821,910
D62,853,910
D63,885,910
D64,917,910
D65,949,910
D66,981,910
D67,1013,910
D68,1045,910
E61,1084,910
E62,1116,910
E63,1148,910
E64,1180,910
E65,1212,910
E66,1244,910
E67,1276,910
E68,1308,910
F61,1349,910
F62,1381,910
F63,1413,910
F64,1445,910
F65,1477,910
F66,1509,910
F67,1541,910
F68,1574,910
G61,1615,910
G62,1647,910
G63,1679,910
G64,1711,910
G65,1743,910
G66,1775,910
G67,1807,910
G68,1839,910
A71,26,1004
A72,58,1004
A73,90,1004
A74,122,1004
A75,154,1004
A76,186,1004
A77,218,1004
A78,250,1004
B71,325,1004
B72,357,1004
B73,389,1004
B74,421,1004
B75,453,1004
B76,485,1004
B77,516,1004
B78,548,1004
C71,556,1004
C72,588,1004
C73,620,1004
C74,652,1004
C75,684,1004
C76,716,1004
C77,748,1004
C78,780,1004
D71,821,1004
D72,853,1004
D73,885,1004
D74,917,1004
D75,949,1004
D76,981,1004
D77,1013,1004
D78,1045,1004
E71,1084,1004
E72,1116,1004
E73,1148,1004
E74,1180,1004
E75,1212,1004
E76,1244,1004
E77,1276,1004
E78,1308,1004
F71,1349,1004
F72,1381,1004
F73,1413,1004
F74,1445,1004
F75,1477,1004
F76,1509,1004
F77,1541,1004
F78,1574,1004
G71,1615,1004
G72,1647,1004
G73,1679,1004
G74,1711,1004
G75,1743,1004
G76,1775,1004
G77,1807,1004
G78,1839,1004
